Date,Open,High,Low,Close,Volume,Adj Close
2011-05-16,55.51,56.00,50.99,52.50,554600,52.50
2011-05-09,53.99,56.87,53.41,55.51,348100,55.51
2011-05-02,53.69,55.70,51.73,53.77,535300,53.77
2011-04-25,53.29,53.89,51.75,53.19,348300,53.19
2011-04-18,49.84,53.99,48.62,52.88,483400,52.88
2011-04-11,51.20,51.82,49.01,50.07,525700,50.07
2011-04-04,48.63,51.72,47.65,50.69,528100,50.69
2011-03-28,48.45,48.88,47.34,48.45,388200,48.45
2011-03-21,46.91,48.45,45.98,47.65,475500,47.65
2011-03-14,45.68,47.93,44.18,46.77,1101800,46.77
2011-03-07,42.99,47.55,40.34,45.77,1237100,45.77
2011-02-28,43.08,43.37,40.25,41.98,491300,41.98
2011-02-22,43.25,43.99,40.06,42.97,596000,42.97
2011-02-14,42.80,44.06,41.70,43.46,423800,43.46
2011-02-07,40.49,42.63,40.00,42.59,351500,42.59
2011-01-31,36.90,40.34,36.13,40.07,696300,40.07
2011-01-24,35.81,37.16,35.41,36.73,365100,36.73
2011-01-18,36.90,37.21,35.37,35.87,507900,35.87
2011-01-10,37.44,38.00,36.63,37.06,458500,37.06
2011-01-03,34.13,38.25,33.69,37.55,687800,37.55
2010-12-27,34.74,34.91,33.62,34.00,187200,34.00
2010-12-20,33.29,34.97,32.99,34.74,490700,34.74
2010-12-13,34.96,34.97,32.01,33.15,1177700,33.15
2010-12-06,35.16,36.04,33.41,34.71,682300,34.71
2010-11-29,34.37,37.24,33.76,35.22,1149400,35.22
2010-11-22,31.95,35.05,31.29,34.99,416800,34.99
2010-11-15,32.01,32.68,30.51,31.95,236800,31.95
2010-11-08,32.33,33.50,31.82,31.98,250900,31.98
2010-11-01,31.36,32.34,30.01,32.30,325400,32.30
2010-10-25,31.23,32.68,30.68,30.69,391600,30.69
2010-10-18,31.18,31.73,30.50,31.07,368100,31.07
2010-10-11,28.82,31.56,28.52,31.01,755500,31.01
2010-10-04,29.53,29.63,27.76,28.96,560900,28.96
2010-09-27,29.02,30.19,28.09,29.35,520800,29.35
2010-09-20,28.31,29.47,27.51,28.93,620000,28.93
2010-09-13,26.50,29.25,26.41,28.15,591300,28.15
2010-09-07,26.41,26.96,25.97,26.21,614100,26.21
2010-08-30,23.52,26.47,20.67,26.30,1853800,26.30
2010-08-23,23.44,23.98,22.20,23.71,330300,23.71
2010-08-16,22.14,24.29,21.83,23.36,439300,23.36
2010-08-09,24.90,25.00,22.06,22.18,376800,22.18
2010-08-02,25.65,25.87,23.56,24.79,412900,24.79
2010-07-26,24.83,25.89,24.11,25.26,484400,25.26
2010-07-19,22.90,24.76,22.23,24.74,432800,24.74
2010-07-12,23.44,23.93,22.51,22.77,436800,22.77
2010-07-06,23.30,23.88,22.02,23.51,635800,23.51
2010-06-28,24.93,26.03,22.68,23.08,745900,23.08
2010-06-21,26.49,26.75,23.86,24.92,706900,24.92
2010-06-14,24.75,26.50,23.75,26.18,973500,26.18
2010-06-07,23.40,24.87,21.24,24.68,1723500,24.68
2010-06-01,25.41,25.98,22.73,23.16,726500,23.16
2010-05-24,23.33,26.00,22.00,25.58,484300,25.58
2010-05-17,23.96,24.75,21.35,23.32,365700,23.32
2010-05-10,22.66,25.40,22.20,23.74,331300,23.74
2010-05-03,23.47,24.55,20.71,21.24,310000,21.24
2010-04-26,25.46,25.76,21.66,23.12,575500,23.12
2010-04-19,23.47,25.40,22.06,25.36,404600,25.36
2010-04-12,23.14,24.10,22.44,23.61,344700,23.61
2010-04-05,22.26,23.38,21.64,23.20,333700,23.20
2010-03-29,22.68,23.45,21.84,22.15,359000,22.15
2010-03-22,21.51,23.28,21.00,22.50,343600,22.50
2010-03-15,22.52,23.17,21.17,21.70,533600,21.70
2010-03-08,21.41,23.35,20.64,23.33,741600,23.33
2010-03-01,18.50,21.62,18.38,21.40,432600,21.40
2010-02-22,17.95,18.50,17.27,18.33,249600,18.33
2010-02-16,18.15,18.68,17.92,17.94,201300,17.94
2010-02-08,17.85,18.60,17.05,17.86,355200,17.86
2010-02-01,19.49,19.99,17.52,17.92,272300,17.92
2010-01-25,20.15,20.47,19.15,19.40,227000,19.40
2010-01-19,20.17,20.49,19.50,20.05,312200,20.05
2010-01-11,21.62,21.62,19.75,20.35,301800,20.35
2010-01-04,19.23,21.62,18.56,21.61,717100,21.61
2009-12-28,18.36,18.64,18.01,18.16,126100,18.16
2009-12-21,18.01,18.57,17.66,18.35,125900,18.35
2009-12-14,18.17,19.25,17.52,17.86,285100,17.86
2009-12-07,17.90,18.41,17.25,18.03,296300,18.03
2009-11-30,16.46,18.64,15.97,17.90,616200,17.90
2009-11-23,17.06,17.50,16.14,16.30,143300,16.30
2009-11-16,17.90,18.21,16.44,16.81,202600,16.81
2009-11-09,17.11,17.94,16.41,17.72,252800,17.72
2009-11-02,15.13,17.15,14.62,17.02,195800,17.02
2009-10-26,15.95,16.66,15.00,15.14,220100,15.14
2009-10-19,16.79,17.28,15.91,16.02,232700,16.02
2009-10-12,17.41,17.85,16.12,16.68,352200,16.68
2009-10-05,15.90,17.44,15.50,17.41,331700,17.41
2009-09-28,15.80,16.81,15.27,15.75,297800,15.75
2009-09-21,15.67,16.08,15.16,15.63,231500,15.63
2009-09-14,14.14,16.00,14.05,15.95,319800,15.95
2009-09-08,15.02,15.44,13.97,14.03,558700,14.03
2009-08-31,11.66,15.20,11.39,15.00,940900,15.00
2009-08-24,11.56,12.00,11.33,11.79,190700,11.79
2009-08-17,10.58,11.76,10.06,11.63,172700,11.63
2009-08-10,11.44,12.00,10.75,10.78,192200,10.78
2009-08-03,11.39,11.62,10.92,11.54,137100,11.54
2009-07-27,11.40,11.62,10.90,11.33,100700,11.33
2009-07-20,10.97,11.61,10.78,11.38,261800,11.38
2009-07-13,10.87,11.33,10.25,10.95,434200,10.95
2009-07-06,10.74,11.12,10.40,10.79,236100,10.79
2009-06-29,10.48,11.47,10.35,10.63,351500,10.63
2009-06-22,9.37,10.59,9.21,10.52,586900,10.52
2009-06-15,10.39,10.39,8.90,9.37,236600,9.37
2009-06-08,11.55,12.00,9.76,10.46,369700,10.46
2009-06-01,8.65,11.97,8.60,11.52,595000,11.52
2009-05-26,8.51,9.12,8.13,8.56,158000,8.56
2009-05-18,8.60,9.19,8.45,8.58,135100,8.58
2009-05-11,8.67,9.07,8.23,8.52,180100,8.52
2009-05-04,8.60,9.10,8.06,8.84,236400,8.84
2009-04-27,8.28,9.00,7.98,8.56,236800,8.56
2009-04-20,7.89,8.92,7.61,8.35,314700,8.35
2009-04-13,7.12,8.17,6.79,8.03,271700,8.03
2009-04-06,6.99,7.25,6.53,7.13,198100,7.13
2009-03-30,6.84,7.25,6.18,7.02,190500,7.02
2009-03-23,6.42,7.14,5.94,6.95,256400,6.95
2009-03-16,5.62,6.65,5.50,6.27,245200,6.27
2009-03-09,4.33,5.67,4.20,5.62,140200,5.62
2009-03-02,5.49,5.64,4.11,4.40,178200,4.40
2009-02-23,5.54,5.93,5.21,5.60,141400,5.60
2009-02-17,6.09,6.50,5.33,5.51,209400,5.51
2009-02-09,6.70,6.91,6.00,6.30,219600,6.30
2009-02-02,5.75,6.85,5.73,6.75,245000,6.75
2009-01-26,6.49,6.89,5.77,5.83,200800,5.83
2009-01-20,6.11,6.63,5.53,6.50,314400,6.50
2009-01-12,6.88,6.99,5.80,6.05,416700,6.05
2009-01-05,8.32,9.17,6.55,6.91,522300,6.91
2008-12-29,9.06,9.19,7.06,8.30,536100,8.30
2008-12-22,10.31,10.48,8.97,9.06,64000,9.06
2008-12-15,9.23,10.60,8.81,10.30,212100,10.30
2008-12-08,8.57,11.08,8.07,9.21,367900,9.21
2008-12-01,7.03,8.47,5.63,8.47,340900,8.47
2008-11-24,7.54,9.16,6.75,7.18,257300,7.18
2008-11-17,7.56,8.25,6.84,7.42,181000,7.42
2008-11-10,9.10,9.32,7.16,7.60,235000,7.60
2008-11-03,8.81,10.40,8.53,8.74,212900,8.74
2008-10-27,8.77,10.28,7.71,8.82,185800,8.82
2008-10-20,10.69,10.95,8.40,8.97,269800,8.97
2008-10-13,12.55,12.55,9.79,10.57,249600,10.57
2008-10-06,11.93,12.66,9.52,11.89,591800,11.89
2008-09-29,13.15,14.06,12.11,12.16,450100,12.16
2008-09-22,14.58,14.58,11.56,13.09,404500,13.09
2008-09-15,13.70,14.95,12.68,14.70,510800,14.70
2008-09-08,12.76,14.21,12.75,14.00,545900,14.00
2008-09-02,11.12,12.77,10.68,12.63,894100,12.63
2008-08-25,12.01,12.18,10.60,10.88,278600,10.88
2008-08-18,12.20,12.54,11.48,12.03,196800,12.03
2008-08-11,10.98,12.48,10.98,12.17,412800,12.17
2008-08-04,9.48,11.23,9.25,11.11,582600,11.11
2008-07-28,11.33,11.41,9.21,9.45,339000,9.45
2008-07-21,10.09,12.05,10.09,11.39,583600,11.39
2008-07-14,9.73,10.49,9.02,9.89,495100,9.89
2008-07-07,10.16,10.30,9.21,9.44,427800,9.44
2008-06-30,11.24,11.61,10.08,10.08,692400,10.08
2008-06-23,12.71,12.83,10.33,11.27,678000,11.27
2008-06-16,12.93,13.66,12.17,12.66,194900,12.66
2008-06-09,13.85,14.17,12.40,12.95,221200,12.95
2008-06-02,14.39,14.97,13.32,13.84,341900,13.84
2008-05-27,13.75,15.08,13.50,14.26,345000,14.26
2008-05-19,14.59,14.66,13.29,13.76,224500,13.76
2008-05-12,14.28,15.07,13.75,14.62,248000,14.62
2008-05-05,14.74,15.00,13.95,14.21,206100,14.21
2008-04-28,13.91,15.31,13.74,14.85,515800,14.85
2008-04-21,14.06,14.39,12.95,13.88,357900,13.88
2008-04-14,14.36,14.85,13.80,14.10,101700,14.10
2008-04-07,13.89,14.99,13.32,14.30,147700,14.30
2008-03-31,14.16,14.84,13.50,13.82,161300,13.82
2008-03-24,13.03,17.12,12.51,14.02,197600,14.02
2008-03-17,10.15,13.35,10.14,12.78,354000,12.78
2008-03-10,13.50,13.66,10.08,10.70,301200,10.70
2008-03-03,14.25,15.10,13.42,13.48,137000,13.48
2008-02-25,14.28,15.48,13.79,14.01,174300,14.01
2008-02-19,15.05,16.04,13.49,14.00,117600,14.00
2008-02-11,15.55,15.86,14.33,14.79,127500,14.79
2008-02-04,14.63,16.25,13.69,15.55,217300,15.55
2008-01-28,15.11,16.60,14.10,14.75,286600,14.75
2008-01-22,12.00,15.68,11.78,15.19,703700,15.19
2008-01-14,15.77,16.41,12.00,12.50,393300,12.50
2008-01-07,14.56,16.26,11.83,15.80,873500,15.80
2007-12-31,17.00,17.35,14.49,14.49,339800,14.49
2007-12-24,16.74,17.95,16.23,17.10,204500,17.10
2007-12-17,18.60,18.60,15.60,16.58,371600,16.58
2007-12-10,28.23,28.53,17.53,18.55,1271500,18.55
2007-12-03,25.98,28.85,25.55,27.98,174700,27.98
2007-11-26,24.77,26.23,23.80,25.74,280600,25.74
2007-11-19,30.05,30.69,22.85,24.17,472900,24.17
2007-11-12,29.67,31.16,28.41,30.69,151900,30.69
2007-11-05,31.61,32.25,29.06,29.90,343100,29.90
2007-10-29,34.00,35.63,31.52,32.42,449300,32.42
2007-10-25,33.00,35.00,28.89,32.00,4556200,32.00
